Дата;Цена;Макс
06.12.2022;22.352;22.777
05.12.2022;22.417;23.69
04.12.2022;23.468;23.488
02.12.2022;23.25;23.475
01.12.2022;22.841;23.005
30.11.2022;21.781;22.41
29.11.2022;21.436;21.635
28.11.2022;21.125;21.815
27.11.2022;21.293;21.41
25.11.2022;21.609;21.88
24.11.2022;21.508;21.73
23.11.2022;21.526;21.78
22.11.2022;21.229;21.555
21.11.2022;20.872;21.555
20.11.2022;21.023;21.055
18.11.2022;20.997;21.325
17.11.2022;20.975;21.535
16.11.2022;21.524;22.155
15.11.2022;21.518;22.38
14.11.2022;22.113;22.19
13.11.2022;21.683;21.785
11.11.2022;21.667;22.16
10.11.2022;21.702;21.94
09.11.2022;21.327;21.695
08.11.2022;21.502;21.72
07.11.2022;20.919;21.72
06.11.2022;20.919;21.72
04.11.2022;20.784;20.965
03.11.2022;19.43;19.555
02.11.2022;19.594;19.555
01.11.2022;19.667;19.555
31.10.2022;19.119;19.225
28.10.2022;19.147;19.62
27.10.2022;19.494;19.66
26.10.2022;19.486;19.765
25.10.2022;19.349;19.41
24.10.2022;19.189;19.675
21.10.2022;19.066;19.405
20.10.2022;18.689;18.96
19.10.2022;18.359;18.755
18.10.2022;44730.00;18.865
17.10.2022;18.719;18.89
14.10.2022;18.071;19.055
13.10.2022;18.918;19.29
12.10.2022;18.938;19.31
11.10.2022;19.487;19.725
10.10.2022;19.615;20.21
07.10.2022;20.255;20.875
06.10.2022;20.66;20.93
05.10.2022;20.544;21.135
04.10.2022;21.099;21.31
03.10.2022;20.589;20.78
30.09.2022;19.039;20.78
29.09.2022;18.712;18.915
28.09.2022;18.88;18.965
27.09.2022;18.337;18.785
26.09.2022;18.48;19.045
23.09.2022;18.91;19.745
22.09.2022;19.617;19.89
21.09.2022;19.48;19.96
20.09.2022;19.183;19.605
19.09.2022;19.358;19.69
16.09.2022;19.381;19.64
15.09.2022;19.269;19.625
14.09.2022;19.569;19.685
13.09.2022;19.491;19.93
12.09.2022;19.86;20.005
09.09.2022;18.767;18.86
08.09.2022;18.442;18.665
07.09.2022;18.26;18.665
05.09.2022;17.908;18.465
02.09.2022;17.881;18.165
01.09.2022;17.666;17.865
31.08.2022;17.882;18.39
30.08.2022;18.287;18.39
29.08.2022;18.557;18.77
26.08.2022;18.746;19.345
25.08.2022;44914.00;19.26
24.08.2022;18.907;19.105
23.08.2022;19.026;19.155
22.08.2022;18.878;19.065
19.08.2022;19.069;19.48
18.08.2022;19.464;19.885
17.08.2022;19.731;20.24
16.08.2022;20.085;20.25
15.08.2022;20.272;20.87
12.08.2022;20.698;20.85
11.08.2022;20.349;20.605
10.08.2022;20.742;20.83
09.08.2022;20.482;20.74
08.08.2022;20.614;20.745
05.08.2022;19.842;20.28
04.08.2022;20.122;20.38
03.08.2022;19.894;20.14
02.08.2022;20.139;20.495
01.08.2022;20.362;20.51
29.07.2022;20.197;20.35
28.07.2022;19.868;20.00
27.07.2022;44730.00;19.095
26.07.2022;18.535;18.62
25.07.2022;18.328;18.675
22.07.2022;18.617;18.88
21.07.2022;18.719;18.805
20.07.2022;18.668;18.805
19.07.2022;18.713;18.845
18.07.2022;18.84;18.95
15.07.2022;18.594;18.695
14.07.2022;18.225;19.18
13.07.2022;19.194;19.36
12.07.2022;18.958;19.135
11.07.2022;19.132;19.31
08.07.2022;19.236;19.39
07.07.2022;19.188;19.435
06.07.2022;19.159;19.325
04.07.2022;19.121;19.325
01.07.2022;19.667;20.29
30.06.2022;20.352;20.785
29.06.2022;20.738;21.065
28.06.2022;20.806;21.355
27.06.2022;21.168;21.535
24.06.2022;21.125;21.205
23.06.2022;21.042;21.495
22.06.2022;21.421;21.675
20.06.2022;21.768;21.95
17.06.2022;21.587;21.965
16.06.2022;21.885;21.97
15.06.2022;21.42;21.845
14.06.2022;20.954;21.36
13.06.2022;21.255;21.36
10.06.2022;21.931;21.36
09.06.2022;21.817;22.165
08.06.2022;22.094;22.275
07.06.2022;22.178;22.275
06.06.2022;22.092;22.565
03.06.2022;21.908;22.525
02.06.2022;22.275;22.38
01.06.2022;21.915;21.995
30.05.2022;21.688;22.31
27.05.2022;22.096;22.475
26.05.2022;21.965;22.075
25.05.2022;21.87;22.145
24.05.2022;22.063;22.215
23.05.2022;21.723;22.205
20.05.2022;21.674;22.205
19.05.2022;21.908;22.205
18.05.2022;21.544;21.75
17.05.2022;21.75;21.925
16.05.2022;21.551;21.71
13.05.2022;21.001;21.125
12.05.2022;20.773;21.625
11.05.2022;21.575;21.97
10.05.2022;21.424;22.085
09.05.2022;21.82;22.395
06.05.2022;22.367;22.665
05.05.2022;22.443;23.345
04.05.2022;22.402;23.125
03.05.2022;22.665;22.89
02.05.2022;22.584;22.88
29.04.2022;23.085;23.65
28.04.2022;23.181;23.455
27.04.2022;23.46;23.765
26.04.2022;23.544;23.975
25.04.2022;23.67;24.24
22.04.2022;24.259;24.74
21.04.2022;24.621;25.31
20.04.2022;25.271;25.31
19.04.2022;25.391;26.195
18.04.2022;26.15;26.495
14.04.2022;44767.00;26.115
13.04.2022;44646.00;26.115
12.04.2022;25.735;25.84
11.04.2022;24.987;25.84
08.04.2022;24.823;24.935
07.04.2022;24.735;24.78
06.04.2022;24.458;24.68
05.04.2022;24.534;24.68
04.04.2022;24.59;25.005
01.04.2022;24.654;25.005
31.03.2022;25.133;25.285
30.03.2022;25.113;25.265
29.03.2022;24.736;25.135
28.03.2022;25.196;25.795
25.03.2022;25.615;26.035
24.03.2022;25.92;26.16
23.03.2022;25.189;25.37
22.03.2022;24.904;25.59
21.03.2022;25.313;25.52
18.03.2022;25.087;25.64
17.03.2022;25.616;25.75
16.03.2022;24.71;25.25
15.03.2022;25.158;25.315
14.03.2022;25.298;26.29
11.03.2022;26.16;26.35
10.03.2022;26.256;26.425
09.03.2022;25.816;27.39
08.03.2022;26.895;27.495
07.03.2022;25.72;26.37
04.03.2022;25.789;25.92
03.03.2022;25.212;25.665
02.03.2022;25.19;25.545
01.03.2022;25.541;25.65
28.02.2022;24.366;24.88
25.02.2022;24.017;24.55
24.02.2022;24.687;25.67
23.02.2022;24.553;24.62
21.02.2022;24.311;24.385
18.02.2022;23.992;24.115
17.02.2022;23.875;23.93
16.02.2022;23.605;23.67
15.02.2022;23.342;24.015
14.02.2022;23.848;23.965
11.02.2022;23.369;23.71
10.02.2022;23.522;23.735
09.02.2022;23.341;23.365
08.02.2022;44615.00;23.265
07.02.2022;23.076;23.265
04.02.2022;22.475;22.69
03.02.2022;22.375;22.66
02.02.2022;22.707;22.875
01.02.2022;22.595;22.875
31.01.2022;22.393;22.655
28.01.2022;22.301;22.83
27.01.2022;22.676;23.625
26.01.2022;23.807;24.025
25.01.2022;23.896;24.045
24.01.2022;44796.00;24.36
21.01.2022;24.32;24.64
20.01.2022;24.716;24.755
19.01.2022;24.231;24.265
17.01.2022;23.492;23.68
14.01.2022;22.918;23.345
13.01.2022;23.162;23.315
12.01.2022;23.207;23.26
11.01.2022;22.812;22.86
10.01.2022;22.462;22.54
07.01.2022;22.409;22.46
06.01.2022;22.19;22.85
05.01.2022;23.17;22.85
04.01.2022;23.056;23.14
03.01.2022;22.81;23.44
